ObjectId,Country,Unit,Date,Amount
571,World,Parts Per Million,1982-06-01,343.88
572,World,Percent,1982-06-01,0.39
573,World,Parts Per Million,1982-07-01,342.42
574,World,Percent,1982-07-01,0.47
575,World,Parts Per Million,1982-08-01,340.24
576,World,Percent,1982-08-01,0.52
577,World,Parts Per Million,1982-09-01,338.38
578,World,Percent,1982-09-01,0.42
579,World,Parts Per Million,1982-10-01,338.41
580,World,Percent,1982-10-01,0.4
581,World,Parts Per Million,1982-11-01,339.44
582,World,Percent,1982-11-01,0.25
583,World,Parts Per Million,1982-12-01,340.78
584,World,Percent,1982-12-01,0.26
585,World,Parts Per Million,1983-01-01,341.57
586,World,Percent,1983-01-01,0.19
587,World,Parts Per Million,1983-02-01,342.78
588,World,Percent,1983-02-01,0.3
589,World,Parts Per Million,1983-03-01,343.37
590,World,Percent,1983-03-01,0.18
591,World,Parts Per Million,1983-04-01,345.4
592,World,Percent,1983-04-01,0.42
593,World,Parts Per Million,1983-05-01,346.14
594,World,Percent,1983-05-01,0.4
595,World,Parts Per Million,1983-06-01,345.76
596,World,Percent,1983-06-01,0.55
597,World,Parts Per Million,1983-07-01,344.32
598,World,Percent,1983-07-01,0.55
599,World,Parts Per Million,1983-08-01,342.51
600,World,Percent,1983-08-01,0.67
601,World,Parts Per Million,1983-09-01,340.46
602,World,Percent,1983-09-01,0.61
603,World,Parts Per Million,1983-10-01,340.53
604,World,Percent,1983-10-01,0.63
605,World,Parts Per Million,1983-11-01,341.79
606,World,Percent,1983-11-01,0.69
607,World,Parts Per Million,1983-12-01,343.2
608,World,Percent,1983-12-01,0.71
609,World,Parts Per Million,1984-01-01,344.21
610,World,Percent,1984-01-01,0.77
611,World,Parts Per Million,1984-02-01,344.92
612,World,Percent,1984-02-01,0.62
613,World,Parts Per Million,1984-03-01,345.68
614,World,Percent,1984-03-01,0.67
615,World,Parts Per Million,1984-04-01,347.37
616,World,Percent,1984-04-01,0.57
617,World,Parts Per Million,1984-05-01,347.78
618,World,Percent,1984-05-01,0.47
619,World,Parts Per Million,1984-06-01,347.16
620,World,Percent,1984-06-01,0.4
621,World,Parts Per Million,1984-07-01,345.79
622,World,Percent,1984-07-01,0.43
623,World,Parts Per Million,1984-08-01,343.74
624,World,Percent,1984-08-01,0.36
625,World,Parts Per Million,1984-09-01,341.59
626,World,Percent,1984-09-01,0.33
627,World,Parts Per Million,1984-10-01,341.86
628,World,Percent,1984-10-01,0.39
629,World,Parts Per Million,1984-11-01,343.31
630,World,Percent,1984-11-01,0.44
631,World,Parts Per Million,1984-12-01,345.0
632,World,Percent,1984-12-01,0.52
633,World,Parts Per Million,1985-01-01,345.48
634,World,Percent,1985-01-01,0.37
635,World,Parts Per Million,1985-02-01,346.41
636,World,Percent,1985-02-01,0.43
637,World,Parts Per Million,1985-03-01,347.91
638,World,Percent,1985-03-01,0.65
639,World,Parts Per Million,1985-04-01,348.66
640,World,Percent,1985-04-01,0.37
641,World,Parts Per Million,1985-05-01,349.28
642,World,Percent,1985-05-01,0.43
643,World,Parts Per Million,1985-06-01,348.65
644,World,Percent,1985-06-01,0.43
645,World,Parts Per Million,1985-07-01,346.9
646,World,Percent,1985-07-01,0.32
647,World,Parts Per Million,1985-08-01,345.26
648,World,Percent,1985-08-01,0.44
649,World,Parts Per Million,1985-09-01,343.47
650,World,Percent,1985-09-01,0.55
651,World,Parts Per Million,1985-10-01,343.35
652,World,Percent,1985-10-01,0.44
653,World,Parts Per Million,1985-11-01,344.73
654,World,Percent,1985-11-01,0.41
655,World,Parts Per Million,1985-12-01,346.12
656,World,Percent,1985-12-01,0.32
657,World,Parts Per Million,1986-01-01,346.78
658,World,Percent,1986-01-01,0.38
659,World,Parts Per Million,1986-02-01,347.48
