ObjectId,Country,Unit,Amount,year
734,World,Percent,0.45,1989
735,World,Parts Per Million,355.72,1989
736,World,Percent,0.58,1989
737,World,Parts Per Million,355.95,1989
738,World,Percent,0.45,1989
739,World,Parts Per Million,355.44,1989
740,World,Percent,0.44,1989
741,World,Parts Per Million,354.05,1989
742,World,Percent,0.35,1989
743,World,Parts Per Million,351.84,1989
744,World,Percent,0.39,1989
745,World,Parts Per Million,350.09,1989
746,World,Percent,0.32,1989
747,World,Parts Per Million,350.33,1989
748,World,Percent,0.27,1989
749,World,Parts Per Million,351.55,1989
750,World,Percent,0.32,1989
751,World,Parts Per Million,352.91,1989
752,World,Percent,0.37,1989
753,World,Parts Per Million,353.86,1990
754,World,Percent,0.22,1990
755,World,Parts Per Million,355.1,1990
756,World,Percent,0.47,1990
757,World,Parts Per Million,355.75,1990
758,World,Percent,0.47,1990
759,World,Parts Per Million,356.38,1990
760,World,Percent,0.19,1990
761,World,Parts Per Million,357.38,1990
762,World,Percent,0.4,1990
763,World,Parts Per Million,356.39,1990
764,World,Percent,0.27,1990
765,World,Parts Per Million,354.89,1990
766,World,Percent,0.24,1990
767,World,Parts Per Million,353.06,1990
768,World,Percent,0.35,1990
769,World,Parts Per Million,351.38,1990
770,World,Percent,0.37,1990
771,World,Parts Per Million,351.69,1990
772,World,Percent,0.39,1990
773,World,Parts Per Million,353.14,1990
774,World,Percent,0.45,1990
775,World,Parts Per Million,354.41,1990
776,World,Percent,0.43,1990
777,World,Parts Per Million,354.93,1991
778,World,Percent,0.3,1991
779,World,Parts Per Million,355.82,1991
780,World,Percent,0.2,1991
781,World,Parts Per Million,357.33,1991
782,World,Percent,0.44,1991
783,World,Parts Per Million,358.77,1991
784,World,Percent,0.67,1991
785,World,Parts Per Million,359.23,1991
786,World,Percent,0.52,1991
787,World,Parts Per Million,358.23,1991
788,World,Percent,0.52,1991
789,World,Parts Per Million,356.3,1991
790,World,Percent,0.4,1991
791,World,Parts Per Million,353.97,1991
792,World,Percent,0.26,1991
793,World,Parts Per Million,352.34,1991
794,World,Percent,0.27,1991
795,World,Parts Per Million,352.43,1991
796,World,Percent,0.21,1991
797,World,Parts Per Million,353.89,1991
798,World,Percent,0.21,1991
799,World,Parts Per Million,355.21,1991
800,World,Percent,0.23,1991
801,World,Parts Per Million,356.34,1992
802,World,Percent,0.4,1992
803,World,Parts Per Million,357.21,1992
804,World,Percent,0.39,1992
805,World,Parts Per Million,357.97,1992
806,World,Percent,0.18,1992
807,World,Parts Per Million,359.22,1992
808,World,Percent,0.13,1992
809,World,Parts Per Million,359.71,1992
810,World,Percent,0.13,1992
811,World,Parts Per Million,359.44,1992
812,World,Percent,0.34,1992
813,World,Parts Per Million,357.15,1992
814,World,Percent,0.24,1992
