country_code,latitude,longitude,Country,ISO3,ISO2,Unit,Year,Temp(C)
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2013,1.333
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2014,1.198
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2015,1.569
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2016,1.464
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2017,1.121
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2018,2.028
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2019,1.675
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2020,1.498
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2021,1.536
AL,41.153332,20.168331,Albania,ALB,AL,Degree Celsius,F2022,1.518
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1961,0.041
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1962,-0.152
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1963,-0.19
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1964,-0.229
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1965,-0.196
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1966,0.175
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1967,-0.081
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1968,-0.193
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1969,0.188
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1970,0.248
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1971,-0.097
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1972,-0.035
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1973,0.475
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1974,-0.158
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1975,-0.029
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1976,-0.313
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1977,0.272
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1978,0.037
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1979,0.291
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1980,0.279
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1981,-0.071
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1982,0.164
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1983,0.487
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1984,0.631
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1985,0.694
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1986,0.176
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1987,0.689
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1988,0.572
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1989,-0.055
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1990,0.687
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1991,0.341
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1992,0.466
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1993,0.256
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1994,0.212
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1995,0.753
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1996,0.37
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1997,0.107
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1998,1.064
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F1999,0.417
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2000,0.169
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2001,0.295
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2002,0.735
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2003,0.889
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2004,0.414
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2005,1.021
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2006,0.561
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2007,0.885
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2008,0.501
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2009,0.708
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2010,1.194
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2011,0.88
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2012,0.552
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2013,1.044
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2014,0.828
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2015,1.331
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2016,1.609
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2017,0.87
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2018,1.395
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2019,1.752
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2020,1.162
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2021,1.553
AO,-11.202692,17.873887,Angola,AGO,AO,Degree Celsius,F2022,1.212
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1961,0.122
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1962,-0.046
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1963,0.162
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1964,-0.343
AR,-38.416097,-63.616672,Argentina,ARG,AR,Degree Celsius,F1965,0.09
